Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],Secchi Depth [m]:METAVAR:FLOAT,PRES [db],TEMP [deg C],PSAL [psu],DOXY [ml/l],PHOS [umol/l],TPHS [umol/l],SLCA [umol/l],NTRA [umol/l],NTRI [umol/l],AMON [umol/l],NTOT [umol/l],H2SX [umol/l],PHPH [],ALKY [meq/l],CPHL [ug/l]
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,15,2.65,7.20,9.12,0.63,0.89,11.5,2.8,0.07,<0.2,18.3,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,20,2.64,7.21,9.13,0.62,0.91,11.7,2.8,0.10,<0.2,18.8,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,30,2.64,7.22,9.08,0.63,0.91,11.7,2.8,0.08,<0.2,18.8,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,40,2.64,7.22,9.17,0.63,0.94,11.7,2.8,0.08,<0.2,18.9,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,50,2.74,7.36,8.65,0.72,1.03,13.1,3.2,0.07,<0.2,19.6,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,61,3.80,8.66,3.27,1.83,2.13,31.9,5.3,0.08,<0.2,21.3,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,71,4.70,9.36,0.53,2.66,2.80,46.7,5.2,0.05,<0.2,18.8,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,81,4.90,10.07,0.74,2.70,3.02,47.6,5.2,0.05,<0.2,20.8,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,91,5.47,10.63,1.12,2.51,2.74,46.2,5.2,0.07,<0.2,19.8,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,101,6.14,11.16,1.81,2.19,2.38,41.7,6.3,0.07,<0.2,20.0,,,,
34AR,139,B,2014-03-03T15:30,56.125,19.28,122,,122,6.31,11.32,1.90,2.11,2.32,40.7,6.6,0.13,<0.2,20.5,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,0,3.55,7.30,8.61,0.75,1.15,14.3,2.9,0.06,<0.2,,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,5,3.55,7.30,8.66,0.76,1.14,14.3,3.0,0.06,<0.2,19.8,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,10,3.55,7.30,8.62,0.76,1.15,14.3,3.0,0.06,<0.2,19.2,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,15,3.56,7.30,8.61,0.75,1.13,14.4,3.0,0.06,<0.2,19.2,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,20,3.56,7.30,8.62,0.77,1.09,14.6,2.9,0.07,<0.2,19.4,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,30,3.54,7.30,8.60,0.74,1.10,14.5,2.9,0.06,<0.2,19.7,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,40,3.56,7.31,8.62,0.76,1.13,14.5,3.0,0.07,<0.2,19.4,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,50,3.66,7.40,8.53,0.79,1.13,14.2,3.1,0.08,<0.2,20.8,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,61,4.13,7.89,6.97,0.95,1.33,17.2,3.9,0.06,<0.2,20.4,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,71,5.10,9.50,2.93,1.64,2.06,30.7,6.2,0.04,<0.2,21.7,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,81,5.49,10.21,1.00,2.26,2.56,40.4,6.1,0.04,<0.2,20.2,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,91,5.81,11.01,0.81,2.23,2.60,42.2,6.4,0.04,<0.2,20.5,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,101,6.16,11.37,0.89,2.35,2.79,44.9,5.2,0.12,0.6,20.6,,,,
34AR,136,B,2015-02-21T00:45,56.125,19.28,120,,120,6.54,12.43,1.17,2.34,2.77,44.1,5.1,0.15,0.8,21.8,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,0,3.67,7.324,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,5,3.68,7.324,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,10,3.64,7.324,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,15,3.67,7.324,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,20,3.63,7.325,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,30,3.67,7.324,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,40,3.64,7.325,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,56,3.58,7.34,8.76,0.92,1.23,17.1,3.0,0.11,0.3,19.6,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,61,4.09,8.082,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,71,5.04,9.715,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,76,5.16,10.033,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,81,5.25,10.252,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,91,5.69,10.611,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,101,6.36,11.238,,,,,,,,,,,,
34AR,149,B,2015-03-17T19:40,56.125,19.28,122,,122,6.53,12.04,1.51,2.13,2.46,41.0,6.8,0.11,<0.2,21.2,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,0,4.65,7.283,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,5,4.65,7.283,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,10,4.64,7.283,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,15,4.65,7.284,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,20,4.65,7.285,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,30,4.57,7.286,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,40,4.58,7.302,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,50,4.61,7.328,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,61,4.46,7.337,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,71,4.46,8.493,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,81,5.51,9.979,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,91,6.22,10.816,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,101,6.70,11.775,,,,,,,,,,,,
34AR,182,B,2015-04-21T19:00,56.125,19.28,120,,116,6.42,12.419,,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,0.5,11.7396,7.1495,8.24,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,5,11.4472,7.1483,8.27,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,10,11.5596,7.1511,8.27,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,15,10.9601,7.1533,8.23,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,20,9.9939,7.1213,8.19,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,25,9.3226,7.1312,8.14,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,30,7.0342,7.2002,8.44,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,35,4.9391,7.2269,8.78,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,40,4.7451,7.3383,8.63,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,45,4.6126,7.3831,8.65,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,50,4.6317,7.4343,8.67,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,55,4.4893,7.4772,8.51,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,60,4.2108,7.6327,7.66,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,65,4.339,8.1124,5.99,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,70,4.6814,8.858,3.23,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,75,5.117,9.5893,1.63,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,80,5.525,10.2324,1.37,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,85,5.7844,10.6505,1.05,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,90,5.8952,10.8627,0.62,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,95,6.1069,11.2847,0.98,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,100,6.1739,11.4827,1.69,,,,,,,,,,,
34AR,331,B,2015-06-13T00:24,56.1252,19.2833,331,,114,6.2311,11.8181,2.04,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,0,15.84,7.154,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,5,15.84,7.154,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,10,15.84,7.153,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,15,15.84,7.153,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,20,15.83,7.153,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,30,9.49,7.311,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,40,6.81,7.444,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,50,5.56,7.493,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,61,4.52,7.786,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,71,5.00,8.869,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,81,5.46,9.909,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,91,5.92,10.944,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,101,6.15,11.475,,,,,,,,,,,,
34AR,470,B,2015-07-22T01:10,56.125,19.28,122,,122,6.27,11.724,2.05,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,0,4.46,7.53,8.4,0.81,1.15,12.8,3.3,0.16,0.2,20.4,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,5,4.45,7.53,8.45,0.81,1.18,12.9,3.3,0.16,0.2,20.1,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,10,4.45,7.53,8.46,0.81,1.17,12.9,3.3,0.16,0.2,19.4,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,15,4.45,7.53,8.45,0.8,1.23,12.9,3.3,0.16,0.2,19.6,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,20,4.45,7.53,8.46,0.8,1.33,12.8,3.2,0.16,0.2,21,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,25,4.4619,7.5303,8.43,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,30,4.46,7.53,8.44,0.8,1.17,12.8,3.3,0.16,0.2,19.4,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,35,4.5186,7.5349,8.41,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,40,4.52,7.54,8.42,0.81,1.18,12.9,3.2,0.16,0.2,19,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,45,4.529,7.541,8.41,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,50,4.57,7.55,8.37,0.8,1.17,12.8,3.3,0.15,0.2,19.4,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,55,4.6366,7.6514,8.24,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,60,4.53,7.72,8.34,0.84,1.19,12.6,3.5,0.16,0.2,19.9,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,65,4.5315,7.7548,8.32,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,70,4.60,7.82,8.21,0.95,1.26,14.3,3.9,0.09,0.2,19.9,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,75,5.3106,8.7105,4.21,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,80,5.86,9.94,2.38,2.5,2.82,42.1,5.9,0.02,0.2,20.9,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,85,6.2983,10.77,1.98,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,90,6.36,11.26,1.20,2.54,2.9,44.9,7.3,0.02,0.2,21.4,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,95,6.4246,11.3613,1.26,,,,,,,,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,100,6.51,11.56,1.28,2.64,2.93,46.4,7.2,0.02,0.2,19.9,,,,
34AR,111,B,2016-02-17T09:46,56.1252,19.2833,121,,121,7.39,12.56,1.92,2.46,2.73,43.2,8.2,0.12,0.7,23.1,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,0,3.26,7.34,8.78,0.8,1.09,17,3.2,0.13,,22,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,5,3.26,7.34,8.77,0.8,1.03,17.1,3.5,0.13,,20.5,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,10,3.26,7.34,8.77,0.8,1.02,17,3.4,0.13,,20.6,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,15,3.26,7.34,8.77,0.77,1.04,17,3.2,0.15,,21,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,20,3.26,7.34,8.76,0.77,1.03,16.9,3.2,0.14,,21.1,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,30,3.28,7.34,8.67,0.75,1,16.3,3.3,0.12,,20.4,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,40,3.82,7.45,8.54,0.72,0.97,15.4,3.5,0.09,,21,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,50,3.79,7.45,8.55,0.75,0.95,15.4,3.5,0.09,,20.8,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,61,4.75,7.74,6.78,1.01,1.25,18.8,4.2,0.03,,21.6,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,71,6.17,10.31,1.4,2.46,2.62,39.3,5.8,0.02,,21.1,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,81,6.77,11.17,1.22,2.45,2.63,41.2,7.1,0.02,,22,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,91,6.45,11.56,1.21,2.42,2.61,41.6,7.6,0.02,,21.9,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,101,6.61,11.94,1.17,2.38,2.66,42.6,8.0,0.02,,24.7,,,,
34AR,109,B,2017-02-11T09:15,56.1252,19.2833,121,,121,7.05,12.31,0.94,2.49,2.62,46,8.4,0.14,,23.8,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,0,4.48,7.37,8.1,0.71,1.1,17.3,3.0,0.04,0.2,22.6,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,5,4.48,7.37,8.1,,,,,,,,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,10,4.47,7.37,8.1,0.71,1.12,17.4,3.0,0.04,0.2,22.9,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,15,4.48,7.37,8.1,0.71,1.08,17.3,3.0,0.04,0.2,25,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,20,4.48,7.37,8.1,0.71,1.11,17.3,3,0.04,0.2,21.5,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,30,4.48,7.37,8.1,0.71,1.06,17.3,3,0.04,0.2,22.6,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,40,4.49,7.38,8.1,0.71,1.06,17.4,3.0,0.05,0.2,21.8,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,50,4.49,7.38,8.1,0.71,1.05,17.4,3.0,0.02,0.2,22,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,61,5.4,8.9,2.2,2.21,2.62,39.6,4.2,0.02,0.2,20.8,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,71,5.72,10.29,0.2,2.75,3.15,45.6,3.0,0.06,0.2,19,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,81,6.03,10.93,0.2,2.74,3.28,45.8,3.7,0.02,0.2,22,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,91,6.19,11.27,0.3,2.48,2.95,43.4,6.8,0.02,0.2,23.3,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,101,6.34,11.64,0.6,2.4,2.86,43.3,8.1,0.02,0.2,26.5,,,,
347V,23,B,2018-01-28T05:25,56.1253,19.2837,118,,118,,,,5.08,,55.9,0.1,0.08,5.3,,4,,,
06AD,309,B,1966-04-29T19:00,56.13,19.30,116,,117,5.81,11.783,0.98,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,2.0,15.838,7.185,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,5.0,15.841,7.186,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,10.0,15.832,7.187,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,13,15.84,7.19,6.73,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,15.0,15.723,7.198,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,20.0,14.365,7.347,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,25.0,9.762,7.288,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,30.0,6.065,7.336,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,35.0,4.151,7.403,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,40.0,3.922,7.411,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,45.0,3.797,7.423,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,46,3.79,7.42,8.09,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,50.0,3.758,7.436,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,55.0,3.656,7.471,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,60.0,3.601,7.540,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,65.0,3.607,7.718,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,70.0,3.666,7.921,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,73.0,3.982,8.288,,,,,,,,,,,,
06AC,35,B,1993-07-22T19:52,56.0833,19.3333,88,,77,3.91,8.40,5.57,,,,,,,,,,,
06GA,24,B,1993-12-07T06:33,56.085,19.337,,,4,5.47,7.361,,,,,,,,,,,,
06GA,24,B,1993-12-07T06:33,56.085,19.337,,,56,4.71,7.818,6.29,,,,,,,,,,,
06GA,24,B,1993-12-07T06:33,56.085,19.337,,,76,5.30,9.173,3.70,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,2,4.476,7.55,8.58,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,5,4.475,7.548,8.58,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,10,4.472,7.547,8.58,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,15,4.48,7.549,8.59,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,20,4.481,7.55,8.59,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,25,4.48,7.549,8.58,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,30,4.479,7.547,8.58,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,35,4.476,7.547,8.58,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,40,4.461,7.548,8.56,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,45,4.445,7.55,8.54,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,50,4.439,7.55,8.53,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,55,4.426,7.55,8.53,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,60,4.405,7.552,8.51,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,65,4.321,8.27,7.40,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,70,5.808,10.14,2.95,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,75,6.427,10.875,2.06,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,80,6.724,11.186,1.86,,,,,,,,,,,
06AK,89,B,2017-04-23T05:50,56.0840,19.3170,85,,84,6.787,11.167,1.80,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,0,11.13,7.03,7.13,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,10,11.17,7.32,7.14,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,20,11.13,7.34,7.16,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,30,10.72,7.34,7.17,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,40,3.62,7.53,,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,50,2.68,7.62,7.95,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,61,2.57,7.74,7.07,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,71,3.63,9.15,2.36,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,81,4.22,9.96,1.03,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,91,4.27,10.39,1.48,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,101,4.45,10.66,1.09,,,,,,,,,,,
67BI,36,B,1968-10-24T18:00,56.12,19.32,112,,110,4.50,10.67,1.01,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,0,7.40,7.21,9.24,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,10,7.40,7.21,9.24,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,20,5.48,7.23,9.22,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,30,5.34,7.32,9.05,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,40,4.93,7.37,8.82,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,50,4.33,7.47,8.13,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,60,4.10,7.89,6.31,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,70,4.80,9.20,3.56,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,80,5.70,10.60,1.67,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,90,6.00,11.15,1.51,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,100,6.23,11.48,1.03,,,,,,,,,,,
67BC,204,B,2007-05-15T19:58,56.0837,19.2365,120,,117.1,6.67,12.06,1.14,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,0,13.87,7.18,7.17,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,10,13.89,7.18,6.84,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,20,13.94,7.19,6.80,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,30,14.00,7.21,6.83,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,40,9.63,7.49,6.64,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,50,5.68,7.61,7.32,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,60,4.97,7.80,6.66,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,70,4.81,8.75,5.68,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,80,5.26,9.95,1.65,,,,,,,,,,,
67BC,510,B,2007-10-10T10:20,56.1143,19.3613,82,,81.6,5.27,9.98,1.51,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,0,7.65,7.38,8.94,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,10,7.64,7.37,8.95,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,20,7.44,7.36,8.92,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,30,4.72,7.36,8.60,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,40,4.46,7.36,8.61,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,50,4.61,7.42,8.27,,,,,,,,,,,
67BC,195,B,2008-05-14T18:51,56.0832,19.2392,116,,60,4.38,7.78,6.34,,,,,,,,,,,
